,PMID,Deviation
0,27468875,0.12244840406476287
1,28109080,0.08378591712641387
2,28379605,0.0828946515292659
3,28391160,0.12232346653352849
4,28402151,0.08463553479846142
5,28550678,-0.05068377984328312
6,28550685,-0.02985044650994978
7,28609843,-0.11318377984328312
8,28627974,0.1806758692795239
9,28636101,-0.07151711317661644
10,28688193,-0.020591187250690535
11,28731278,-0.07783024448974776
12,28764893,0.09989638893308822
13,28857346,0.05004646070654506
14,28947385,0.15348288682338357
15,28950255,-0.07115479433603675
16,28980287,0.03264955349005022
17,29023945,0.07380809007541606
18,29036788,0.09093607034398282
19,29055957,0.1406040989445957
20,29055960,-0.04026711317661644
21,29057547,-0.034752407294263515
22,29058777,-0.09340976854384808
23,29060929,-0.0151445641570086
24,29171984,-0.16534662971605665
25,29179202,-0.02985044650994978
26,29183039,0.06423557499542659
27,29219208,-0.03540600206550534
28,29227823,0.0344352677757645
29,29231992,0.08378591712641387
30,29236322,-0.0026227237376725276
31,29267498,-0.01669255177310769
32,29295724,0.036981236658367056
33,29306212,0.01592420137737416
34,29321082,0.024071122117501176
35,29323740,0.12924046258095934
36,29331856,0.02014955349005021
37,29331857,-0.046840737772085694
38,29363368,-0.12690927003936153
39,29377269,-0.06985044650994979
40,29386087,0.06423557499542659
41,29414803,0.004463278980246288
42,29414810,-0.053046322798609574
43,29414815,0.027080246559357146
44,29432995,0.07658519705440664
45,29441907,-0.022424703935692347
46,29448248,0.0164458497863465
47,29451405,-0.04104447636069605
48,29471888,-0.11463305520560196
49,29490000,0.005863839204335919
50,29501764,-0.05762822428772757
51,29511496,0.08378591712641387
52,29523223,0.01921497405079786
53,29550827,0.060149553490050245
54,29558717,0.10476493810543486
55,29565504,0.06582856583572921
56,29567543,-0.1628291699142051
57,29577942,0.02449737957700676
58,29590644,0.01426720054887376
59,29611016,0.05050669634719307
60,29615148,-0.027103193762697042
61,29635893,0.09157812491862166
62,29665646,-0.026838398317178713
63,29667771,0.03387504368612865
64,29669307,0.018395167525137923
65,29673591,0.06328680839201101
66,29679904,-0.11947308801938375
67,29693289,-0.0025395221402018664
68,29694502,0.005863839204335919
69,29694511,0.01606792083698899
70,29694513,0.06423557499542659
71,29704506,0.1072463276835986
72,29710506,0.44237177571227243
73,29710511,-0.0071231737826770725
74,29737579,0.053482886823383535
75,29768218,0.01802189391558212
76,29772436,-0.022424703935692347
77,29791590,-0.010285229118645434
78,29791595,-0.02985044650994978
79,29800915,0.050149553490050236
80,29803927,-0.04651711317661644
81,29843128,0.010847227908654888
82,29843156,0.03096036430086102
83,29864954,-0.03660720326670652
84,29864957,-0.06007022672973
85,29898032,0.09014955349005022
86,29913408,-0.012523713836682437
87,29922435,0.02879152879869218
88,29940767,-0.05762822428772757
89,29960169,-0.05985044650994978
90,29990829,-0.008822409126772235
91,29996115,-0.008822409126772235
92,30001771,0.10014955349005022
93,30058243,0.056884247367601226
94,30074264,0.10998006196462651
95,30119240,-0.06891294650994978
96,30119250,-0.025882192541695825
97,30121658,-0.1012790179385212
98,30126001,0.09750804405608798
99,30129054,-0.023850446509949774
100,30132983,-0.05103688718791588
101,30134190,0.03790656283584459
102,30145831,0.07647139257051
103,30145837,-0.03214402449160114
104,30156009,-0.06335560114912503
105,30156609,-0.12537890179450262
106,30158376,0.06594394601341469
107,30161272,0.04545075830932732
108,30171944,-0.0624591421621237
109,30176223,-0.04131833641820665
110,30198366,-0.01794568460518786
111,30205377,-0.04985044650994977
112,30244244,0.0005233852657511306
113,30249208,0.09770057389821346
114,30253373,-0.08472849529043758
115,30257238,0.06668420695539673
116,30257250,-0.008005786315775032
117,30257251,-0.034395901055404327
118,30257376,0.1401495534900502
119,30286469,0.04014955349005023
120,30300656,0.15152210250965809
121,30308510,0.15970999305048977
122,30320894,-0.01669255177310769
123,30372834,-0.0503422497886383
124,30372870,0.012184951720138726
125,30402863,0.16842541555901575
126,30415256,-0.14941566390125413
127,30415259,-0.0697664128965044
128,30417553,-0.04348681014631342
129,30452981,-0.03232569403470226
130,30453799,-0.14050618421486782
131,30458344,0.14872098206147877
132,30468834,0.0649771396969468
133,30472296,0.053482886823383535
134,30477356,-0.017138582103170097
135,30477744,-0.010619677279180562
136,30481751,-0.007920621948546258
137,30504696,0.07729241063290737
138,30509094,-0.04752721418671746
139,30509103,-0.0071231737826770725
140,30521964,-0.007920621948546258
141,30524679,-0.04348681014631342
142,30526546,-0.06166862832813161
143,30529770,-0.10593740303168891
144,30536347,-0.06416417200014585
145,30547768,-0.01267487399086581
146,30550887,0.03973718235602958
147,30551353,0.0164458497863465
148,30551356,-0.08193377984328312
149,30551437,-0.11318377984328312
150,30551450,-0.06884127219802316
151,30551506,0.02135437276715868
152,30551524,0.024071122117501176
153,30551533,-0.027513997911818966
154,30565729,-0.017138582103170097
155,30569716,-0.05343535217032713
156,30576641,0.02317985652035326
157,30577849,-0.07512603706113088
158,30586667,-0.11162614744452923
159,30593805,0.008611091951588656
160,30594603,0.04090427047118228
161,30610843,0.13773197107246782
162,30622031,0.07817424484807489
163,30625293,0.053482886823383535
164,30632205,0.0043600798058396895
165,30633886,0.17570510904560577
166,30644017,-0.03309719975670303
167,30684462,-0.07985044650994977
168,30684569,-0.02321327836835685
169,30695715,0.0344352677757645
170,30701574,-0.10060516349108187
171,30703346,-0.039344117396025724
172,30745529,-0.011331927991431234
173,30763577,0.028560768443321227
174,30770559,0.056783216856386876
175,30770562,-0.08937425603375931
176,30770563,-0.053046322798609574
177,30771739,0.002977836318333038
178,30776646,-0.0007806790680893183
179,30784907,0.011816220156716906
180,30785478,0.05024664086869102
181,30791741,-0.06145964191224862
182,30822424,-0.034952487326276316
183,30834562,-0.07230327669862902
184,30838711,-0.06808574062759684
185,30840282,0.043226476566973315
186,30843674,-0.07985044650994977
187,30848513,-0.12985044650994979
188,30849307,-0.003254701829098705
189,30853612,0.01047213413521153
190,30853613,-0.08342187508137835
191,30854680,0.025412711384787068
192,30863948,-0.07985044650994977
193,30876463,-0.04770758936709263
194,30880481,-0.0181682035192956
195,30890138,-0.02985044650994978
196,30897061,-0.05762822428772757
197,30898646,-0.06363423029373355
198,30909147,-0.10337985827465565
199,30909188,0.08378591712641387
200,30913029,-0.021423480217814928
201,30916820,0.07079890413940088
202,30916824,0.10312827689430554
203,30928631,0.15411181764099363
204,30941768,-0.1355205496027333
205,30942624,0.16170799504849176
206,30942630,-0.09889806555756883
207,30942633,-0.026517113176616425
208,30945283,-0.05376348998821065
209,30946839,-0.049081215740719
210,30951746,0.07368490702540376
211,30953616,-0.06997390330007325
212,30953817,-0.01422544650994978
213,30970524,0.15676927179990935
214,30974101,-0.026517113176616425
215,30977409,-0.1427536723164014
216,30978333,-0.19581683306457162
217,30981080,0.03660524969258189
218,30982359,-0.0071231737826770725
219,30983015,-0.18663010752689893
220,30989694,0.29746914111891615
221,30994730,0.19489702823752497
222,31001861,-0.0417552084147117
223,31002772,-0.06932413072047611
224,31002779,0.10110193444243115
225,31006666,-0.054498333833893436
226,31007083,-0.02985044650994978
227,31009136,-0.1012790179385212
228,31016760,-0.10939590105540434
229,31017717,0.03722272422175754
230,31022599,0.1796090129495097
231,31026064,-0.026517113176616425
232,31027517,0.03790656283584459
233,31029888,-0.05093478385934738
234,31032946,-0.027325193984697238
235,31043087,-0.011557763583120495
236,31046467,0.06261530691470774
237,31062608,-0.021423480217814928
238,31062616,0.08185168114962471
239,31062620,-0.02985044650994978
240,31071509,-0.01669255177310769
241,31079326,-0.08165224831175158
242,31079494,0.049096921911102875
243,31081145,-0.049081215740719
244,31085811,0.08378591712641387
245,31094031,-0.07792736958687285
246,31102286,-0.125088541748045
247,31111550,0.0164458497863465
248,31111564,0.0043600798058396895
249,31124134,0.03593902717426073
250,31126199,-0.022424703935692347
251,31129138,-0.049081215740719
252,31131636,-0.06688748354698681
253,31136949,-0.02985044650994978
254,31144384,-0.11480190282062938
255,31151422,0.061326024078285524
256,31158334,0.06966411659684635
257,31159592,-0.027103193762697042
258,31159593,-0.05365997031947359
259,31164009,0.08246839406976036
260,31174432,-0.04770758936709263
261,31184221,0.08278691612741285
262,31184222,-0.03265943527399473
263,31184227,0.12639955349005022
264,31184231,0.028660191787922562
265,31190357,0.04367896525475612
266,31190561,-0.0624591421621237
267,31198060,0.06358389692439365
268,31204523,-0.03946583112533439
269,31204533,-0.06416417200014585
270,31208217,-0.03265943527399473
271,31210352,-0.01018752516163518
272,31213086,0.07457993323688566
273,31213092,-0.05462522128472455
274,31213095,0.18014955349005024
275,31220946,-0.020110186769690064
276,31220954,0.03096036430086102
277,31222827,-0.049081215740719
278,31223035,-0.07350124016074344
279,31241046,0.0164458497863465
280,31243880,-0.11735044650994977
281,31250665,-0.042562310916729434
282,31251107,-0.07396809356877332
283,31257936,-0.11318377984328312
284,31267802,0.10371119732566664
285,31283006,0.032076158994637394
286,31284776,0.13573396907446583
287,31286521,-0.05012071678022004
288,31286799,0.042371775712272464
289,31288012,-0.11318377984328312
290,31297873,-0.032427766097578636
291,31298038,-0.02985044650994978
292,31299862,0.000637358368099028
293,31299866,-0.12467803271684633
294,31301304,0.02784186118235793
295,31302422,0.27014955349005026
296,31306638,-0.11501528167478495
297,31307224,-0.04985044650994977
298,31307231,-0.04608421274371602
299,31309444,0.024071122117501176
300,31310378,0.02317985652035326
301,31319730,-0.08997702878843078
302,31322006,-0.01199330365280693
303,31326411,-0.07792736958687285
304,31334669,0.03790656283584459
305,31352788,-0.008005786315775032
306,31353963,-0.0655647322242355
